ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
24 - Agaram,Central,Shanthinagar,2020,0.4277111683861443,0.007162717796395558,34.04584499537374
46 - Yamalur,East,Mahadevapura,2020,0.4555046729491146,-0.08242996909248483,33.59576815588831
2 - Akash Ward,North,Yelahanka,2020,0.2616971076049021,0.04724895533685564,37.53709533587186
21 - Kogilu,North,Byatarayanapura,2020,0.2605319958441245,0.0779154994453405,38.16309458359276
25 - Vinayaka Layout,West,Rajarajeshwarinagar,2020,0.2688556711144097,0.014167357961706192,38.432334614362375
16 - Ullal,West,Yeshwanthapura,2020,0.2894015270964525,0.06726693044603457,39.998530871388326
24 - Jnana Bharathi Ward,West,Rajarajeshwarinagar,2020,0.35151391509350627,0.05626637369906262,36.94364263848527
46 - Cheluvadi Palya,Central,Chamrajapet,2020,0.21439622201012234,0.06145583168698593,40.53846707484959
43 - Devaraj Urs Ward,Central,Chickpet,2020,0.23568573946680194,0.029210118893030004,38.01934669459319
13 - Kodigehalli,North,Byatarayanapura,2020,0.2057907797950775,0.05445589476790084,38.52884634239691
16 - Kotthur,East,K.R. Pura,2020,0.34400820930959153,0.0061101718040065265,37.655365376474464
14 - K.R Pura,East,K.R. Pura,2020,0.3440350522356962,-0.05066624855935212,36.766042135312354
64 - Shivanagara,West,Rajajinagar,2020,0.18352878761202499,0.050251535742013756,38.34667685230259
36 - Beguru,South,Bangalore South,2020,0.24447662059900913,0.06612941640621085,36.632820649861195
5 - Hoysala Nagara East,East,K.R. Pura,2020,0.21788098886345614,0.043836268396483725,37.654378779183524
7 - Byrasandra,South,Jayanagar,2020,0.3260631321846605,-0.031827545806756334,36.27550203439001
15 - Ramamurthy Nagara,East,K.R. Pura,2020,0.20355033535413125,0.03270322819940247,37.17327690213915
5 - Shivajinagar,Central,Shivajinagar,2020,0.22459234175784598,0.046182764433701534,39.018575083112204
29 - Kormangala West,South,B.T.M Layout,2020,0.3895948903831121,-0.026708257332763125,35.414390008639295
41 - V.V Puram,Central,Chickpet,2020,0.22127944666089538,0.028334765306771086,38.156426629154595
8 - Tilak Nagara,South,Jayanagar,2020,0.2909602388614476,-0.006941146740649787,36.96554919443564
23 - Jogpalya,Central,Shanthinagar,2020,0.23468549681042863,0.027320253749205766,37.22669149341312
65 - Manjunath Nagara,West,Rajajinagar,2020,0.1555381189600747,0.06305779046196203,38.59906241972634
66 - Sane Guruvana Halli,West,Rajajinagar,2020,0.22938277625099032,0.026199712378425406,38.33339863487915
77 - Maruthi Mandira Ward,West,Govindraj Nagar,2020,0.1931240080397742,0.031758219669615416,38.747542930814525
34 - Subbayanapalya,North,Sarvagnanagar,2020,0.12681073089365721,0.08686306860970981,38.992409170488436
20 - Hemmigepura,West,Yeshwanthapura,2020,0.32606269995821463,0.08496887984098861,36.92263598395341
8 - T.C Palya,East,K.R. Pura,2020,0.3391548444549568,-0.004890307858911176,36.33247614843208
47 - Bellanduru,East,Mahadevapura,2020,0.17468077386944061,0.07106769472153772,36.083152653403786
71 - Thimmenahalli,West,Govindraj Nagar,2020,0.22261416039780063,0.032475093077274884,38.86240030973952
2 - Kadirenahalli,South,Padmanabanagar,2020,0.20659204420989483,0.0382346049937533,38.154686060990514
48 - Mathikere,West,Malleshwaram,2020,0.1859633221236217,0.05657560169792379,38.976056578511
20 - Kodihalli,Central,C.V. Raman Nagar,2020,0.2667850805870722,0.006602477049547304,36.54367138020933
71 - Nele Maheshwaramma Temple Ward,North,Dasarahalli,2020,0.14712459921813278,0.0718464680097975,39.55401358451314
34 - Peenya,West,Rajarajeshwarinagar,2020,0.27695008709420815,0.04325042484518598,39.93566168073068
7 - Rajagopala Nagara,West,Dasarahalli,2020,0.19051944806722731,0.0722277113070964,41.073901185689195
93 - Avalahalli,West,Vijayanagar,2020,0.1401869859648488,0.07799237795958773,39.17216038723809
2 - Horamavu,East,K.R. Pura,2020,0.297443178482158,0.005854756774914978,36.54693389373508
4 - Babusab Palya,East,K.R. Pura,2020,0.20021661844925623,0.05910172650673714,38.21927191915733
20 - A Narayanapura,East,K.R. Pura,2020,0.16709753684136444,0.07549957534097469,38.56485967646302
27 - Vibhootipura,East,K.R. Pura,2020,0.2585890702834527,0.11017602851854079,38.57880805874975
39 - Gottigere,South,Bangalore South,2020,0.22122887191581894,0.10563853419748138,37.482709897855486
54 - Kengal Hanumanthaiah South,South,Bommanahalli,2020,0.15649345771529669,0.058831376864805184,37.72532923825851
40 - Shakthi Nagar,North,Pulakeshinagar,2020,0.12720666394664068,0.09720258525841016,40.51474698634347
3 - Yelahanka Old Town,North,Yelahanka,2020,0.2691895786664449,0.03608116663664063,39.1409542135747
37 - Jeevanahalli,North,Sarvagnanagar,2020,0.31725412585557533,0.019670323174345822,37.673463621145075
55 - Bhuvaneshwari Nagar,Central,Gandhinagara,2020,0.1208648306012777,0.10032406101985206,40.257663963767776
1 - K Narayanapura,East,K.R. Pura,2020,0.27646826209176095,0.04945364226612044,38.11563469118366
88 - Sangolli Rayanna Ward,West,Vijayanagar,2020,0.10873242400741677,0.09402689164002997,39.867698272942036
87 - K.P Agrahara,West,Vijayanagar,2020,0.13403557776501893,0.0803721851151754,39.410195366120135
4 - Banashankari Temple Ward,South,Padmanabanagar,2020,0.18209347075025373,0.0731286282190192,38.421598288795515
20 - Madiwala,South,B.T.M Layout,2020,0.14274050153102694,0.06665280414923853,37.25452576303739
